B03002_001E,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,name,county,state,tract
8363.0,7649.0,13.0,4.0,37.0,0.0,0.0,223.0,437.0,"Census Tract 9603, Jefferson County, Idaho",051,16,960300
5103.0,3970.0,84.0,22.0,46.0,0.0,0.0,185.0,796.0,"Census Tract 215, Canyon County, Idaho",027,16,021500
1016.0,769.0,0.0,5.0,0.0,6.0,0.0,34.0,202.0,"Census Tract 201, Canyon County, Idaho",027,16,020100
4872.0,3180.0,18.0,222.0,156.0,9.0,0.0,0.0,1287.0,"Census Tract 203, Canyon County, Idaho",027,16,020300
4231.0,2623.0,34.0,29.0,0.0,0.0,0.0,108.0,1437.0,"Census Tract 216, Canyon County, Idaho",027,16,021600
17345.0,13628.0,65.0,90.0,206.0,32.0,0.0,563.0,2761.0,"Census Tract 211, Canyon County, Idaho",027,16,021100
2904.0,2767.0,3.0,0.0,0.0,6.0,0.0,67.0,61.0,"Census Tract 9701, Clearwater County, Idaho",035,16,970100
3387.0,2384.0,6.0,5.0,33.0,0.0,0.0,17.0,942.0,"Census Tract 9601, Jefferson County, Idaho",051,16,960100
8223.0,7158.0,0.0,87.0,244.0,0.0,0.0,227.0,507.0,"Census Tract 51, Latah County, Idaho",057,16,005100
3119.0,2919.0,7.0,70.0,12.0,3.0,3.0,41.0,64.0,"Census Tract 57, Latah County, Idaho",057,16,005700
3987.0,3644.0,0.0,12.0,0.0,7.0,0.0,154.0,170.0,"Census Tract 9602, Jefferson County, Idaho",051,16,960200
11673.0,10189.0,0.0,65.0,0.0,55.0,0.0,55.0,1309.0,"Census Tract 9604, Jefferson County, Idaho",051,16,960400
3985.0,3770.0,55.0,5.0,22.0,5.0,0.0,95.0,33.0,"Census Tract 55, Latah County, Idaho",057,16,005500
3588.0,3342.0,13.0,20.0,24.0,0.0,17.0,86.0,86.0,"Census Tract 56, Latah County, Idaho",057,16,005600
6534.0,6174.0,0.0,45.0,232.0,0.0,0.0,61.0,22.0,"Census Tract 52, Latah County, Idaho",057,16,005200
6771.0,5724.0,145.0,2.0,243.0,0.0,0.0,168.0,489.0,"Census Tract 53, Latah County, Idaho",057,16,005300
6477.0,5514.0,56.0,69.0,234.0,7.0,17.0,169.0,411.0,"Census Tract 54, Latah County, Idaho",057,16,005400
9231.0,8589.0,15.0,69.0,14.0,0.0,0.0,193.0,351.0,"Census Tract 9502, Bonner County, Idaho",017,16,950200
4386.0,4142.0,0.0,1.0,80.0,14.0,0.0,68.0,81.0,"Census Tract 9501, Benewah County, Idaho",009,16,950100
3424.0,3257.0,0.0,11.0,19.0,0.0,0.0,50.0,87.0,"Census Tract 9505, Bonner County, Idaho",017,16,950500
7135.0,6760.0,0.0,12.0,14.0,0.0,0.0,53.0,296.0,"Census Tract 9504, Bonner County, Idaho",017,16,950400
5895.0,5379.0,0.0,0.0,199.0,0.0,0.0,225.0,92.0,"Census Tract 9508, Bonner County, Idaho",017,16,950800
3288.0,3020.0,14.0,13.0,1.0,8.0,0.0,73.0,159.0,"Census Tract 9503, Bonner County, Idaho",017,16,950300
1998.0,1859.0,0.0,39.0,18.0,0.0,0.0,68.0,14.0,"Census Tract 9501, Bonner County, Idaho",017,16,950100
1975.0,1837.0,0.0,0.0,13.0,0.0,0.0,79.0,46.0,"Census Tract 9506, Bonner County, Idaho",017,16,950600
4114.0,3897.0,22.0,13.0,0.0,16.0,0.0,26.0,140.0,"Census Tract 9509, Bonner County, Idaho",017,16,950900
4795.0,4559.0,0.0,104.0,23.0,0.0,0.0,84.0,25.0,"Census Tract 9507, Bonner County, Idaho",017,16,950700
1055.0,542.0,2.0,60.0,0.0,0.0,0.0,8.0,443.0,"Census Tract 9501, Clark County, Idaho",033,16,950100
4016.0,3728.0,0.0,12.0,65.0,0.0,0.0,72.0,139.0,"Census Tract 24.12, Ada County, Idaho",001,16,002412
3575.0,3150.0,0.0,25.0,26.0,0.0,15.0,165.0,194.0,"Census Tract 15, Ada County, Idaho",001,16,001500
6390.0,5387.0,192.0,49.0,145.0,4.0,16.0,82.0,515.0,"Census Tract 12.02, Ada County, Idaho",001,16,001202
7420.0,6336.0,19.0,62.0,84.0,41.0,26.0,84.0,768.0,"Census Tract 24.10, Ada County, Idaho",001,16,002410
11986.0,10050.0,0.0,25.0,305.0,188.0,53.0,498.0,867.0,"Census Tract 104.02, Ada County, Idaho",001,16,010402
6896.0,5359.0,119.0,139.0,26.0,20.0,6.0,137.0,1090.0,"Census Tract 105.01, Ada County, Idaho",001,16,010501
3881.0,3296.0,2.0,121.0,56.0,0.0,0.0,38.0,368.0,"Census Tract 1, Ada County, Idaho",001,16,000100
6116.0,5434.0,26.0,27.0,128.0,0.0,0.0,205.0,296.0,"Census Tract 5, Ada County, Idaho",001,16,000500
5081.0,4036.0,4.0,0.0,142.0,0.0,26.0,264.0,609.0,"Census Tract 14, Ada County, Idaho",001,16,001400
6204.0,4561.0,295.0,0.0,205.0,0.0,0.0,279.0,864.0,"Census Tract 17, Ada County, Idaho",001,16,001700
6068.0,5420.0,56.0,0.0,41.0,0.0,0.0,39.0,512.0,"Census Tract 102.23, Ada County, Idaho",001,16,010223
5128.0,4324.0,86.0,24.0,64.0,0.0,0.0,63.0,567.0,"Census Tract 6, Ada County, Idaho",001,16,000600
4391.0,3849.0,20.0,0.0,97.0,15.0,0.0,192.0,218.0,"Census Tract 8.03, Ada County, Idaho",001,16,000803
3334.0,2976.0,27.0,50.0,20.0,0.0,0.0,108.0,153.0,"Census Tract 12.01, Ada County, Idaho",001,16,001201
8699.0,7276.0,153.0,135.0,241.0,42.0,0.0,389.0,463.0,"Census Tract 22.21, Ada County, Idaho",001,16,002221
5666.0,4707.0,20.0,40.0,124.0,30.0,12.0,293.0,440.0,"Census Tract 24.11, Ada County, Idaho",001,16,002411
9008.0,7235.0,659.0,32.0,278.0,0.0,0.0,109.0,695.0,"Census Tract 24.13, Ada County, Idaho",001,16,002413
7194.0,6637.0,0.0,0.0,237.0,0.0,0.0,197.0,123.0,"Census Tract 101, Ada County, Idaho",001,16,010100
7501.0,5763.0,116.0,17.0,36.0,121.0,0.0,253.0,1195.0,"Census Tract 103.22, Ada County, Idaho",001,16,010322
7942.0,6797.0,5.0,36.0,14.0,27.0,0.0,93.0,970.0,"Census Tract 9703, Fremont County, Idaho",043,16,970300
1129.0,1068.0,0.0,3.0,0.0,0.0,0.0,40.0,18.0,"Census Tract 9701, Fremont County, Idaho",043,16,970100
3818.0,3105.0,21.0,0.0,0.0,0.0,11.0,64.0,617.0,"Census Tract 9702, Fremont County, Idaho",043,16,970200
4363.0,3792.0,8.0,3.0,58.0,3.0,10.0,67.0,422.0,"Census Tract 9502, Madison County, Idaho",065,16,950200
12883.0,11202.0,104.0,0.0,164.0,21.0,0.0,309.0,1083.0,"Census Tract 9503.02, Madison County, Idaho",065,16,950302
3392.0,2950.0,77.0,0.0,102.0,0.0,0.0,85.0,178.0,"Census Tract 9503.01, Madison County, Idaho",065,16,950301
6305.0,5462.0,12.0,0.0,78.0,0.0,82.0,165.0,506.0,"Census Tract 9504, Madison County, Idaho",065,16,950400
6119.0,5669.0,33.0,0.0,35.0,0.0,0.0,51.0,331.0,"Census Tract 9501, Madison County, Idaho",065,16,950100
5179.0,4954.0,0.0,0.0,0.0,0.0,0.0,23.0,202.0,"Census Tract 9505, Madison County, Idaho",065,16,950500
3889.0,3672.0,30.0,41.0,0.0,0.0,2.0,62.0,82.0,"Census Tract 9602, Shoshone County, Idaho",079,16,960200
4808.0,4360.0,6.0,134.0,29.0,0.0,0.0,43.0,236.0,"Census Tract 9604, Shoshone County, Idaho",079,16,960400
3793.0,3435.0,0.0,102.0,30.0,0.0,0.0,114.0,112.0,"Census Tract 9603, Shoshone County, Idaho",079,16,960300
2066.0,1891.0,3.0,0.0,0.0,0.0,0.0,72.0,100.0,"Census Tract 9601, Idaho County, Idaho",049,16,960100
6026.0,5812.0,0.0,63.0,0.0,0.0,0.0,34.0,117.0,"Census Tract 9602, Idaho County, Idaho",049,16,960200
1185.0,1159.0,0.0,10.0,4.0,7.0,0.0,0.0,5.0,"Census Tract 9604, Idaho County, Idaho",049,16,960400
2401.0,2093.0,16.0,22.0,28.0,8.0,0.0,95.0,139.0,"Census Tract 9603, Idaho County, Idaho",049,16,960300
10776.0,8741.0,20.0,20.0,13.0,0.0,0.0,150.0,1832.0,"Census Tract 9601, Teton County, Idaho",081,16,960100
